 created by the TBmodels package    Fri, 25 Jul 2025 17:51:57 JST
           8
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -2    1    1    1    1      0.00000000000000     -0.00000000000000
   -2    1    1    2    1      0.00000000000000     -0.00000000000000
   -2    1    1    3    1      0.00000000000000     -0.00000000000000
   -2    1    1    4    1      0.00000000000000     -0.00000000000000
   -2    1    1    5    1      0.00000000000000     -0.00000000000000
   -2    1    1    6    1      0.00000000000000     -0.00000000000000
   -2    1    1    7    1      0.00000000000000     -0.00000000000000
   -2    1    1    8    1      0.00000000000000     -0.00000000000000
   -2    1    1    1    2      0.00000000000000     -0.00000000000000
   -2    1    1    2    2      0.00000000000000     -0.00000000000000
   -2    1    1    3    2      0.00000000000000     -0.00000000000000
   -2    1    1    4    2      0.00000000000000     -0.00000000000000
   -2    1    1    5    2      0.00000000000000     -0.00000000000000
   -2    1    1    6    2      0.00000000000000     -0.00000000000000
   -2    1    1    7    2      0.00000000000000     -0.00000000000000
   -2    1    1    8    2      0.00000000000000     -0.00000000000000
   -2    1    1    1    3      0.00000000000000     -0.00000000000000
   -2    1    1    2    3      0.00000000000000     -0.00000000000000
   -2    1    1    3    3      0.00000000000000     -0.00000000000000
   -2    1    1    4    3      0.00000000000000     -0.00000000000000
   -2    1    1    5    3      0.00000000000000     -0.00000000000000
   -2    1    1    6    3      0.00000000000000     -0.00000000000000
   -2    1    1    7    3      0.00000000000000     -0.00000000000000
   -2    1    1    8    3      0.00000000000000     -0.00000000000000
   -2    1    1    1    4      0.00000000000000     -0.00000000000000
   -2    1    1    2    4      0.00000000000000     -0.00000000000000
   -2    1    1    3    4      0.00000000000000     -0.00000000000000
   -2    1    1    4    4      0.00000000000000     -0.00000000000000
   -2    1    1    5    4      0.00000000000000     -0.00000000000000
   -2    1    1    6    4      0.00000000000000     -0.00000000000000
   -2    1    1    7    4      0.00000000000000     -0.00000000000000
   -2    1    1    8    4      0.00000000000000     -0.00000000000000
   -2    1    1    1    5     -0.00097532496341     -0.00000000000000
   -2    1    1    2    5     -0.00140243491795     -0.00000000000000
   -2    1    1    3    5      0.00074326742333      0.00000000000000
   -2    1    1    4    5     -0.00301963337105      0.00000000000000
   -2    1    1    5    5      0.00000000000000     -0.00000000000000
